"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Nemanja Bjelica",3400,"Min@Bos 07:30PM ET",15.648,"Min"
"SF","P.J. Hairston",3400,"Cha@Hou 08:00PM ET",10.728,"Cha"
"SF","Lance Stephenson",3300,"OKC@LAC 10:30PM ET",11.231,"LAC"
"SG","Andre Roberson",3300,"OKC@LAC 10:30PM ET",12.740,"OKC"
"C","Willie Cauley-Stein",3300,"Sac@Was 07:00PM ET",14.813,"Sac"
"PF","Bobby Portis",3300,"Bkn@Chi 08:00PM ET",14.150,"Chi"
"SF","Kelly Oubre Jr.",3300,"Sac@Was 07:00PM ET",6.944,"Was"
"PF","Kevin Garnett",3200,"Min@Bos 07:30PM ET",13.685,"Min"
"SF","Paul Pierce",3200,"OKC@LAC 10:30PM ET",9.222,"LAC"
"PG","Kirk Hinrich",3200,"Bkn@Chi 08:00PM ET",10.016,"Chi"
"PF","Jason Smith",3200,"Orl@NY 07:30PM ET",11.107,"Orl"
"SF","Wesley Johnson",3200,"OKC@LAC 10:30PM ET",11.080,"LAC"
"SG","Wayne Ellington",3200,"Bkn@Chi 08:00PM ET",8.810,"Bkn"
"SG","Gerald Henderson",3200,"Por@Atl 08:00PM ET",11.579,"Por"
"C","Nikola Pekovic",3200,"Min@Bos 07:30PM ET",0,"Min"
"C","Jeff Withey",3200,"Pho@Uta 09:00PM ET",8.838,"Uta"
"C","Mike Muscala",3200,"Por@Atl 08:00PM ET",10.571,"Atl"
"SF","Maurice Harkless",3200,"Por@Atl 08:00PM ET",11.500,"Por"
"PG","Raul Neto",3200,"Pho@Uta 09:00PM ET",11.823,"Uta"
"C","Myles Turner",3200,"Ind@SA 08:30PM ET",12.031,"Ind"
"PF","Trey Lyles",3200,"Pho@Uta 09:00PM ET",7.141,"Uta"
"PG","Ronnie Price",3100,"Pho@Uta 09:00PM ET",8.971,"Pho"
"SF","Tayshaun Prince",3100,"Min@Bos 07:30PM ET",6.875,"Min"
"PG","C.J. Watson",3100,"Orl@NY 07:30PM ET",13.875,"Orl"
"C","Ryan Hollins",3100,"Sac@Was 07:00PM ET",4.450,"Was"
"SG","Anthony Morrow",3100,"OKC@LAC 10:30PM ET",9.250,"OKC"
"SF","Luc Richard Mbah a Moute",3100,"OKC@LAC 10:30PM ET",5.221,"LAC"
"PG","D.J. Augustin",3100,"OKC@LAC 10:30PM ET",10.259,"OKC"
"SF","Chase Budinger",3100,"Ind@SA 08:30PM ET",10.721,"Ind"
"PG","Donald Sloan",3100,"Bkn@Chi 08:00PM ET",5.031,"Bkn"
"C","Tiago Splitter",3100,"Por@Atl 08:00PM ET",12.474,"Atl"
"PF","Mike Scott",3100,"Por@Atl 08:00PM ET",9.716,"Atl"
"C","DeJuan Blair",3100,"Sac@Was 07:00PM ET",6.786,"Was"
"C","Tyler Zeller",3100,"Min@Bos 07:30PM ET",7.338,"Bos"
"PG","Seth Curry",3100,"Sac@Was 07:00PM ET",6.729,"Sac"
"SF","Derrick Williams",3100,"Orl@NY 07:30PM ET",12.583,"NY"
"PF","Kevin Seraphin",3100,"Orl@NY 07:30PM ET",10.869,"NY"
"PG","Shabazz Napier",3100,"Orl@NY 07:30PM ET",9.125,"Orl"
"SG","Markel Brown",3100,"Bkn@Chi 08:00PM ET",6.359,"Bkn"
"SF","Jonathon Simmons",3100,"Ind@SA 08:30PM ET",11.268,"SA"
"C","Dewayne Dedmon",3100,"Orl@NY 07:30PM ET",12.338,"Orl"
"SF","Kyle Anderson",3100,"Ind@SA 08:30PM ET",8.685,"SA"
"PF","Noah Vonleh",3100,"Por@Atl 08:00PM ET",8.741,"Por"
"SG","Devin Booker",3100,"Pho@Uta 09:00PM ET",9.043,"Pho"
"PG","Andre Miller",3000,"Min@Bos 07:30PM ET",11.077,"Min"
