"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF","Quincy Pondexter",3000,"NO@Pho 10:30PM ET",0,"NO"
"SG","Jodie Meeks",3000,"Det@Chi 08:00PM ET",2.000,"Det"
"PG","Donald Sloan",3000,"Bkn@Ind 07:00PM ET",3.321,"Bkn"
"SG","Sonny Weems",3000,"NO@Pho 10:30PM ET",4.750,"Pho"
"C","JaVale McGee",3000,"Mem@Dal 08:30PM ET",9.250,"Dal"
"SG","Elijah Millsap",3000,"Den@Uta 09:00PM ET",6.286,"Uta"
"SF","Jeremy Evans",3000,"Mem@Dal 08:30PM ET",5.208,"Dal"
"SG","Justin Holiday",3000,"Atl@Bos 07:30PM ET",6.824,"Atl"
"SG","E'Twaun Moore",3000,"Det@Chi 08:00PM ET",9.163,"Chi"
"C","Cole Aldrich",3000,"LAC@SA 08:00PM ET",2.050,"LAC"
"SG","James Anderson",3000,"Sac@Min 08:00PM ET",4.482,"Sac"
"SF","Luke Babbitt",3000,"NO@Pho 10:30PM ET",10.983,"NO"
"SF","Chris Johnson",3000,"Den@Uta 09:00PM ET",3.206,"Uta"
"PF","Quincy Acy",3000,"Sac@Min 08:00PM ET",5.667,"Sac"
"SF","Willie Reed",3000,"Bkn@Ind 07:00PM ET",9.500,"Bkn"
"PG","Shelvin Mack",3000,"Atl@Bos 07:30PM ET",8.477,"Atl"
"PF","Jonas Jerebko",3000,"Atl@Bos 07:30PM ET",7.971,"Bos"
"SG","Ian Clark",3000,"Mil@GS 10:30PM ET",6.420,"GS"
"C","Shayne Whittington",3000,"Bkn@Ind 07:00PM ET",-1.000,"Ind"
"SF","Solomon Hill",3000,"Bkn@Ind 07:00PM ET",5.682,"Ind"
"SG","C.J. Wilcox",3000,"LAC@SA 08:00PM ET",0.000,"LAC"
"SG","John Jenkins",3000,"Mem@Dal 08:30PM ET",6.400,"Dal"
"PF","Cory Jefferson",3000,"NO@Pho 10:30PM ET",5.833,"Pho"
"PF","Thomas Robinson",3000,"Bkn@Ind 07:00PM ET",9.440,"Bkn"
"PG","Tim Frazier",3000,"Por@Orl 07:00PM ET",2.339,"Por"
"C","Tibor Pleiss",3000,"Den@Uta 09:00PM ET",1.688,"Uta"
"PF","Cameron Bairstow",3000,"Det@Chi 08:00PM ET",2.583,"Chi"
"SG","Tim Hardaway Jr.",3000,"Atl@Bos 07:30PM ET",5.438,"Atl"
"SF","Duje Dukan",3000,"Sac@Min 08:00PM ET",0,"Sac"
"PG","Jerian Grant",3000,"NY@Phi 07:00PM ET",12.104,"NY"
"SF","Reggie Bullock",3000,"Det@Chi 08:00PM ET",1.375,"Det"
"PG","Pablo Prigioni",3000,"LAC@SA 08:00PM ET",6.786,"LAC"
"PG","Russ Smith",3000,"Mem@Dal 08:30PM ET",3.904,"Mem"
"SG","Joe Ingles",3000,"Den@Uta 09:00PM ET",7.359,"Uta"
"C","Boban Marjanovic",3000,"LAC@SA 08:00PM ET",7.308,"SA"
"PF","Eric Moreland",3000,"Sac@Min 08:00PM ET",3.900,"Sac"
"SF","Devyn Marble",3000,"Por@Orl 07:00PM ET",0.950,"Orl"
"PF","Adreian Payne",3000,"Sac@Min 08:00PM ET",7.662,"Min"
"SG","Joe Young",3000,"Bkn@Ind 07:00PM ET",3.417,"Ind"
"C","Salah Mejri",3000,"Mem@Dal 08:30PM ET",2.350,"Dal"
"PG","Ray McCallum",3000,"LAC@SA 08:00PM ET",5.063,"SA"
"PG","Bryce Cotton",3000,"NO@Pho 10:30PM ET",0,"Pho"
"SF","Pat Connaughton",3000,"Por@Orl 07:00PM ET",1.000,"Por"
"SG","Darrun Hilliard",3000,"Det@Chi 08:00PM ET",4.286,"Det"
"PG","Spencer Dinwiddie",3000,"Det@Chi 08:00PM ET",8.083,"Det"
"SG","Josh Richardson",3000,"Tor@Mia 08:00PM ET",4.045,"Mia"
"SF","Branden Dawson",3000,"LAC@SA 08:00PM ET",0,"LAC"
"PF","James Michael McAdoo",3000,"Mil@GS 10:30PM ET",3.816,"GS"
"PF","Rakeem Christmas",3000,"Bkn@Ind 07:00PM ET",0,"Ind"
"SG","Norman Powell",3000,"Tor@Mia 08:00PM ET",4.500,"Tor"
"PF","Jarnell Stokes",3000,"Tor@Mia 08:00PM ET",1.250,"Mia"
"C","Lucas Nogueira",3000,"Tor@Mia 08:00PM ET",9.469,"Tor"
"SF","Kostas Papanikolaou",3000,"Den@Uta 09:00PM ET",4.719,"Den"
"SF","Sergey Karasev",3000,"Bkn@Ind 07:00PM ET",1.925,"Bkn"
"SG","R.J. Hunter",3000,"Atl@Bos 07:30PM ET",6.100,"Bos"
"SG","Jordan Adams",3000,"Mem@Dal 08:30PM ET",9.500,"Mem"
"SF","Justin Anderson",3000,"Mem@Dal 08:30PM ET",4.059,"Dal"
